Test Case ID				UTC01	UTC02	UTC03	UTC04
Condition				Precondition
Can connect with server				O	O	O	O
Requester authenticated				O	O	O	O
Requester has permission				O	O	O	O
CONDITION - Requester role:				
admin				O		O	O
school_admin					O		O
CONDITION - Filters:				
school_id provided					O		
school_id invalid						O	
CONDITION - School admin assignment:				
School admin has school_id					O		
School admin missing school_id							O
CONDITION - Data:				
Students exist				O	O		
Students filtered by school					O		
Students include parents				O	O		
Students include class				O	O		
Gender converted to string				O	O		
Return				
TRUE				O	O		
FALSE						O	
Exception				
200				O	O		
400						O	
Log message				
school_id không hợp lệ						O	
School admin chưa được gán trường học							O
Result				
Type (N/A/B)				N	A	A	A
Passed/Failed				P	P	P	P
Executed Date				12/09	12/09	12/09	12/09
Defect ID				
